                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 3.2628,                 4.1514,                 3.2048,                0.00068,                0.15161,                0.00101,                 0.0003,                 3.2465,                 4.4598,                 3.2667,             0.00094085,             0.00094085,             0.00094085
                     35,                 3.2266,                 4.2147,                 3.2614,                0.00078,                0.18065,                 0.0016,                0.00047,                 3.2514,                 4.4888,                 3.2621,             0.00091885,             0.00091885,             0.00091885
                     36,                 3.3387,                 4.1799,                 3.2645,                0.00085,                0.20323,                0.00154,                0.00041,                 3.2292,                 4.5493,                 3.2165,             0.00089685,             0.00089685,             0.00089685
                     37,                  3.245,                 4.1929,                 3.1785,                0.00077,                0.19355,                0.00177,                0.00045,                 3.1957,                 4.5627,                 3.1789,             0.00087484,             0.00087484,             0.00087484
                     38,                 3.3693,                 4.2267,                 3.2204,                 0.0008,                0.20323,                0.00148,                0.00042,                 3.1818,                 4.5639,                 3.1863,             0.00085284,             0.00085284,             0.00085284
                     39,                 3.1635,                 4.1855,                 3.1295,                0.00085,                0.21613,                0.00125,                0.00036,                 3.1515,                 4.5734,                 3.1615,             0.00083083,             0.00083083,             0.00083083
                     40,                 3.3088,                 4.1807,                 3.1633,                 0.0009,                0.22581,                0.00148,                0.00042,                 3.1431,                 4.3802,                 3.1409,             0.00080883,             0.00080883,             0.00080883
                     41,                  3.277,                 4.1597,                 3.0894,                0.00219,                0.22427,                0.00245,                0.00061,                 3.1906,                 4.3684,                 3.1476,             0.00078682,             0.00078682,             0.00078682
                     42,                 3.1056,                 4.1946,                 3.0249,                0.00335,                0.22749,                0.00276,                0.00065,                 3.2537,                 4.3833,                 3.1973,             0.00076482,             0.00076482,             0.00076482
                     43,                 3.2604,                 4.2221,                 3.1481,                 0.0037,                0.20814,                0.00322,                0.00071,                 3.2463,                 4.3747,                 3.2433,             0.00074282,             0.00074282,             0.00074282
                     44,                 3.2481,                 4.1346,                 3.0945,                 0.0037,                0.19846,                0.00303,                0.00109,                 3.1911,                 4.3076,                 3.2105,             0.00072081,             0.00072081,             0.00072081
                     45,                 3.3051,                 4.1834,                 3.1691,                0.00298,                0.19201,                0.00255,                0.00089,                 3.1486,                  4.315,                 3.1805,             0.00069881,             0.00069881,             0.00069881
                     46,                 3.2762,                 4.1175,                  3.095,                0.00272,                0.18878,                0.00226,                0.00082,                 3.1156,                 4.2891,                 3.1535,              0.0006768,              0.0006768,              0.0006768
                     47,                 3.2987,                 4.1048,                 3.1322,                 0.0025,                0.19523,                 0.0022,                0.00067,                 3.0993,                 4.2697,                 3.1418,              0.0006548,              0.0006548,              0.0006548
                     48,                 3.1577,                 4.1879,                 3.0434,                0.00302,                0.20814,                0.00232,                0.00071,                 3.0811,                 4.2743,                 3.1534,             0.00063279,             0.00063279,             0.00063279
